,seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,chi,sharp,Jvar,Kvar,Lvar,Kamp,Var_Status
722,14178,18.883,0.1828,17.796,0.2293,17.559,0.0834,0.785,-0.391, 7.308, 0.967, 8.858, 0.654,1
723,18306,19.790,1.0028,99.999,9.9999,17.175,0.1589,1.060, 0.532,10.530, 0.912,12.037, 1.020,1
724, 5863,18.769,0.3635,17.524,0.4942,16.784,0.0725,0.967,-0.463,10.107, 0.973,12.325, 0.623,1
725,  980,18.162,0.0404,17.159,0.0621,16.752,0.0453,0.982, 0.240, 3.944, 0.965, 4.770, 0.342,1
726,13940,19.558,0.1876,18.023,0.0714,17.188,0.0766,0.773, 0.116, 8.055, 0.979, 9.886, 0.722,1
727,10625,19.844,0.2759,18.191,0.0188,17.458,0.0732,1.047,-0.064, 5.538, 0.895, 6.214, 0.852,1
728, 1685,18.848,0.3492,17.503,0.0238,17.455,0.0580,1.179, 1.207, 3.679, 0.903, 4.165, 0.596,1
729, 1984,18.504,0.2217,17.142,0.0237,16.841,0.0455,1.514, 1.432, 3.701, 0.923, 4.283, 0.558,1
730,15028,18.331,0.0630,17.729,0.2239,17.112,0.0457,1.309, 0.811, 5.148, 0.952, 6.146, 0.695,1
731,12332,19.149,0.0247,17.767,0.0155,16.612,0.0390,1.016,-0.253, 6.330, 0.955, 7.581, 0.624,1
732,13644,18.454,0.0812,17.507,0.0154,17.296,0.0437,0.980, 0.338, 3.524, 0.976, 4.312, 0.395,1
733,16553,18.602,0.0286,17.639,0.2341,17.093,0.0324,1.152, 0.852, 4.956, 0.956, 5.936, 0.576,1
734,14885,18.471,0.1332,17.656,0.1258,17.255,0.0794,0.901, 0.136, 8.384, 0.981,10.310, 0.722,1
735, 9824,20.885,0.1539,20.357,0.2510,18.783,0.1126,0.938, 0.643, 4.053, 0.839, 4.262, 1.400,1
736,14036,19.721,0.6910,18.074,0.5645,16.754,0.0859,1.107, 0.486,13.191, 0.957,15.821, 1.052,1
737,17986,18.138,0.1464,17.333,0.1600,16.914,0.1022,1.329,-0.449, 8.977, 0.968,10.892, 0.840,1
738, 7027,17.040,0.2261,17.227,0.2484,17.102,0.0901,1.011,-0.069,11.487, 0.975,14.040, 0.807,1
739,17474,18.354,0.0595,17.551,0.1361,17.161,0.0430,1.162, 0.936, 3.464, 0.975, 4.232, 0.374,1
740, 7027,17.040,0.2261,17.227,0.2484,17.102,0.0901,1.011,-0.069,11.487, 0.975,14.040, 0.807,1
741,12116,19.187,0.1654,17.997,0.1223,17.501,0.0351,0.800,-0.420, 3.285, 0.973, 4.006, 0.299,1
742, 5252,18.010,0.3104,16.803,0.0148,16.587,0.0645,1.293, 0.030, 7.074, 0.949, 8.414, 0.627,1
743,16157,19.115,0.1069,18.351,0.0405,17.102,0.1160,1.208, 1.485, 8.342, 0.962,10.061, 0.894,1
744,19568,17.005,0.0318,18.054,0.1902,15.288,0.3533,2.541,-2.074,19.339, 0.875,21.214, 2.346,1
745, 6569,18.674,0.0894,17.878,0.2699,17.490,0.0413,0.859, 0.122, 4.066, 0.984, 5.013, 0.350,1
746,12064,18.931,0.1056,18.156,0.1019,17.586,0.0416,0.906,-0.797, 3.654, 0.984, 4.509, 0.516,1
747,10619,18.769,0.0675,17.782,0.1147,17.025,0.0477,1.283, 0.338, 5.406, 0.905, 6.135, 0.882,1
748, 1753,18.462,0.0844,17.597,0.0714,16.917,0.0535,1.345, 1.388, 5.027, 0.914, 5.761, 0.644,1
749,13316,15.843,0.0754,15.060,0.0092,14.782,0.0378,3.278,-0.082, 3.428, 0.949, 4.077, 0.320,1
750,15267,18.911,0.2429,18.291,0.1847,17.910,0.1145,0.900,-0.853, 7.086, 0.961, 8.532, 0.993,1
751,17643,18.361,0.0637,17.757,0.0252,17.606,0.0184,1.155, 1.391, 0.402, 0.981, 0.494,99.999,0
752,  518,20.321,0.2031,19.498,0.1019,18.999,0.0583,0.983,-1.257, 0.247, 0.984, 0.304,99.999,0
753,17301,20.125,0.1052,19.841,0.1098,19.492,0.0517,0.733,-2.033, 0.070, 0.928, 0.081,99.999,0
754,18086,18.957,0.1059,17.959,0.0322,17.694,0.0289,1.379,-0.024, 0.537, 0.956, 0.643,99.999,0
